author_name,author_from,comment_title,comment_body,comment_date
jehkrdoso,"Ijuí, RS",Super agradável!,"Uma graciosa surpresa! Esse é o parque dos moradores mesmo. Super gostoso de ficar, ele é enorme, e cada lado dele parece que você esta em um parque diferente do outro. Muito agradável! Confesso que não dava vontade de ir embora!", abril de 2019
600 Hermes,"Curitiba, PR","O 1º PARQUE DE CURITIBA,  É O MAIS BONITO   E O MELHOR  PARA   FAZER SUA CAMINHA MATINAL OU NO ENTARDECER.","O Parque Barigui é hoje uma Atração para a cidade de Curitiba. Lá tem tudo: Restaurante, o Lago muito bonito, tem Expaço para  EXPOSIÇÕES, TEM ESTACIONAMENTO, TEM AQUELE CÔCO E A CANA DE AÇUCAR GELADO.", março de 2020
Rodrigo Ramos,"Porto Alegre, RS",Visita à parque,Fomos ao parque para curtir um pouco a natureza e relaxar a beira do lago. Lugar gostoso para se tomar um chimarrão ou fazer um piquenique., março de 2020
Ana Paula C,"Benedito Novo, SC",Parque familiar ,"Um lugar lindo para conhecer com toda família, inclusive com pets.  Espaço para correr, patinar, andar de bike, de skate,etc. Até levar sua toalha e fazer um picnic. Lugar lindo e conservado.", março de 2020
Nilza P,"Vargem Grande do Sul, São Paulo, Brazil",Lugar lindo!,Vale a pena conhecer esse parque. Maravilhoso.E o mais legal é que fica próximo ao Park Shopping Barigui., fevereiro de 2020
cintia s,,Lindo parque,"Pra quem gosta de pedalar e ao mesmo tempo apreciar uma bela paisagem, sem dúvidas esse parque é uma excelente opção. Muito espaço para caminhada e é possível até fazer um piquenique. O por do sol tem a melhor vista.", março de 2020
lpereira111953,"Curitiba, PR",Visita sábado de manhã,Melhores e dia para conhecer este parque. Sábado de verão com muito sol. Todos marcam encontro no Parque Barigui. Que seja para uma caminhada e depois uma cerveja no bar do trapiche., setembro de 2019
Clovis A Manfio,"Barueri, SP",O parque que é a cara de Curitiba,"Muito bem cuidado, limpo, sinalizado e seguro. Rotas para bicicleta e para caminhadas separadas para segurança dos usuários. Aproveite a parada do onibus turistico e visite também o Museu do Automóvel", fevereiro de 2020
Vanessa C,"Rio de Janeiro, RJ",Perfeito para um domingo!,"Quer fazer uma caminhada, corrida ou andar de bike? Lá é o lugar. Dá pra alugar bike e patinete lá na frente. Pagamos 29 reais por quase 1h de bike. Achei válido! Além disso, na frente do Parque, está localizado o Museu de Automóveis.  ", fevereiro de 2020
@luna.tiffany.pet,"São Paulo, SP","O melhor parque de Curitiba, para quem tem PET!","Com 1,4 milhões de metros quadrados de área, é um dos maiores parques da cidade. Não são apenas os moradores da cidade e os turistas que procuram descanso no parque. Preás, socós, garças brancas, gambás, tico-ticos, sabiás e dezenas de outros animais nativos fazem do Barigüi a", fevereiro de 2020
Nathalia A,,Ótimo para atividades ao ar livre,"Lugar que te permite estar em contato com a natureza, capivaras que não se incomodam com a presença das pessoas, patos, ganços há aluguel de bicicletas e patinetes disponíveis. Vá de tênis, calça e use repelente.", fevereiro de 2020
eulers56,"Recife, Brasil",Ótimo lugar para atividades ao ar livre,"Ótimo lugar, limpo e organizado, ideal para fazer atividades ao ar livre, correr, andar de bicicleta, ou apenas fazer um passeio.", setembro de 2019
Ppatriciart,"Vitória, ES",Grande,"Parque grande, bonito, bem cuidado. Fica em frente ao shopping Barigui. Tem um lago com capivaras que são um show a parte.", maio de 2019
Leila K,"São Bernardo do Campo, SP",Um dos melhores parques de Curitiba !,"Parque amplo com espaço para caminhadas e piqueniques.  As capivaras dão um show a parte, andando pelos jardins e nem se incomodando com as pessoas.  As pistas ao redor do lago são muito boas.", fevereiro de 2020
Anna Barbara M,"Itajaí, SC",Espaço amplo e capivaras,"Ótimo parque para caminhar, correr, andar de bicicleta ou patinete. As capivaras são um show a parte.", fevereiro de 2020
Ary Jose Freitas,,Passeio com emoções,"Já na chegada um gigante estacionamento para automóveis, motos e bikes. Um lago limpo e com a moradia de um jacaré. Pistas para andar e correr, muitas árvores e plantas arborizando o ambiente, restaurantes e churrasqueiras para as famílias. Dá para passar o dia ali. Aconchegante!", fevereiro de 2020
Tleis,Curitiba,Corrida pela manhã,"Ótimo lugar para descansar, encontrar amigos, tomar um sol, brincar com os Animais de estimação, tomar um chopp, enfim, um lugar para quem vem a Curitiba não pode deixar de visitá-lo.", fevereiro de 2020
EloizaMC,,Belíssimo parque!,"Um dos parques mais bonitos de Curitiba. Uma delícia para fazer uma boa caminhada, ou simplesmente admirar a natureza, as capivaras tomando um sol ( quando aparece por aqui) rsrs. Lindo passeio!", fevereiro de 2020
Nelsonlage,"Nova Iguaçu, RJ",Passeio em família,"Um dos melhores parques de Curitiba. Excelente para caminhadas, com quiosques para lanches e bebidas.", janeiro de 2020
Graciete P,"Curitiba, PR",Meu parque preferido!!,"Pelo menos 3 vezes na semana vou ao Parque Barigui para correr ou caminhar. Vou a eventos no Centro de Exposições, tomar água de côco, passear com as amigas, fazer piquenique. Construi uma casa no parque e morei por 10 anos. Amo esse parque.", janeiro de 2020
Lisi Rossa,"Correia Pinto, SC",Ótimo para relaxar,"Fomos logo após o almoço, lugar tranquilo, sossegado, ótimo para fazer caminhadas, andar de bike ou patinete, ler um livro ou fazer um piquenique com as crianças. Tínhamos pouco tempo para ficar no parque e logo o tempo fechou para chuva, então não deu para aproveitar muito, mas", janeiro de 2020
Eliane D,,Noite agradável com boa companhia ✨✨,O shopping Barigui é na minha opinião o melhor shopping de Curitiba...sempre faço meus encontros com amigos e famíliar lá...ultil ao agradável ♥️😋💞👗👘👜, dezembro de 2019
Daniel Lima,"Curitiba, PR",Ar Puro.,"Lazer, tranquilidade, muitaaaa área verde, verdadeiro paraiso, não tem como visitar Curitba e não passar por aqui.", janeiro de 2020
Thay Duarte,"Caiobá, PR",Demais,Me surpreendi com esse parque. Muito grande e com uma estrutura muito diferente do usual. Adorei ver as capivaras, maio de 2019
Cátia Pereira,"Cabo Frio, RJ",Um parque muito agradável ,"Lindo parque, bem cuidado, proporciona ótimos momentos de contato com a natureza, tem um restaurante do lago com uma vista deliciosa e se está com tempo de uma volta completa de skate elétrico disponível por todo o parque  Super agradável ", fevereiro de 2020
Andréa S,,Melhor parque de Curitiba,"O parque é grande, muito bem cuidado, com pista para ciclista separada da do pedestre, com pássaros, capivara, peixe.  Tem uma loja que aluga bicicletas, o que recomendo caso vc não possa levar a sua.  Alugamos uma com cadeirinha para nossa filha. Aconselho percorrer todo o", fevereiro de 2020
Leandro kawase,"Curitiba, PR",Parque bacana !,"Parque muito  bonito ! Otima energia ! Bastante opções  no parque , tudo para tornar um passeio super bacana ao ar livre seja com os amigos pu aquela companhia especial ! Recomendo!", fevereiro de 2020
tbaruffi,"Jaraguá do Sul, SC",Perfeito para caminhar,Eh meu parque preferido em Curitiba. Excelente para prática de atividades físicas e com outras opções de lazer!!! Muito bom!!!, fevereiro de 2019
Reginaldo L,"Belo Horizonte, MG",Ótimo para caminhada,Um outro bom parque de Curitiba. O local possui pista demarcada para ciclista e para quem quer caminhar bastante arborizado e opções de locar bicicletas e patinetes. Possui um grande estacionamento gratuito no parque.  Recomendo., janeiro de 2020
Igor A,"Salvador, BA",Muito bom,"Local muito agradável, limpo, arborizado, conservado. Vale a pena a visita com a família. Possui local para lanchar.", janeiro de 2020
Gilberto M,"Recife, PE",lindo parque,"Um parque muito bonito, ótimo para a família, bem amplo, é possível patinar , andar de bicicleta e se divertir bastante . bem cuidado, e bem arborizado. ", julho de 2019
Cristina G,"Sorocaba, SP",Outro belo cartão postal de Curitiba.,"Lindo! Enorme. Prepare- se para uma super caminhada. Vale muito uma visita sem pressa. Possui um belo lago. Local de caminhada, esportes. Possui restaurante, pavilhão de exposições e amplo estacionamento. Recomendamos.", dezembro de 2019
Marcia S,"Salvador, BA",Parque Barigui,"Parque lindo d+! Os jardins são incríveis, fiquei encantada com as cores, as flores. A cachoeira é um linda", dezembro de 2019
gabrieller0cha,,"Excelente parque para passear, caminhar, correr, andar de bicicleta ou patins ou patinete... td ao ar livre e gratuito.","Parque ao ar livre gratuito, lindo, mto bem conservado, com estacionamento tb gratuito. Único problema: donos de cães que os levam para passear ainda deixam no local as fezes dos animais. Infelizmente encontramos várias ao longo do percurso... atenção aí pessoal, levou o totó p", janeiro de 2020
Lara Oliveira,"Pelotas, RS",Legal,"É interessante para passar uma tarde, mas ao chegar me decepcionei um pouco. O que é legal são as capivaras, mas em geral o parque não tem nada de muito diferente além de grama e água. É bom para relaxar, mas acho mais interessante o parque Tanguá por exemplo.", janeiro de 2020
Sergio B,"Curitiba, PR",Parques,"O Parque Barigui é um dos muitos parques de Curitiba. É o maior e um dos mais bonitos, juntamente com o Parque Tanguá, com muitas caminhadas, um grande lago e uma vista do perfil da cidade.  Vale a pena.  No final de semana é muito movimentado.", dezembro de 2019
Gisele Lira Tourinho,"Rio de Janeiro, RJ",Delícia de Parque!!!,"Fomos meu marido e Eu, em um domingo de verão (Janeiro de 2020) e o clima estava maravilhoso. Alugamos um patinete elétrico, super baratinho (pagamos 15 reais em cada, em meia hora) e foi muito legal andar pelo parque de patinete. O parque é super agradável, tinha bastante casal", janeiro de 2020
Thatiane Pellissier,"Londrina, PR",Excelente para passar o dia ,"Parque muito gostoso e movimentado. Seja para passear com a família, com o pet... Há patinetes para locar, opções para comer e beber (carrinhos de doce, caldo de cana etc). Um bom lugar para fazer um piquenique.", janeiro de 2020
Raili,"Maringá, PR",Perfeito!!,"Pensei que o parque era pequeno, mas não se engane, o parque é gigantesco. Não consegui andar tudo, realmente da para se perder dentro do parque. Mas é lindo, muito bem arborizado, limpo, com várias pontes, rios, lagos, quadras para prática de esportes. Para quem vai de carro", janeiro de 2020
Compass623141,"Rio de Janeiro, RJ",Beleza,"Parque lindo, perfeito para um piquenique, passeio com a família, local seguros, natureza abundante, simplesmente lindo", dezembro de 2019
ROBERTO P,,Muito bonito,"Lugar muito bonito e tranquilo, ótimo para relaxar e realizar caminhadas, próximo ao Shopping, gostei.", janeiro de 2020
Otton Rogerio Lima,"Curitiba, PR",Cuidando da saúde,"Um lugar diferenciado entre os varios parques oferecidos na cidade de Curitiba, com muito verde e qualidade no ar, pratica de diversos esportes e lazer. Ideal para toda a familia. Durante o ano todo sempre uma qualidade de vida.", janeiro de 2020
Gilberto P,"Curitiba, PR",Amplo e agradável mas o lago precisa cuidados,"Local muito bom para passear com a criançada, amplos locais gramados e muitas árvores para descansar à sombra. Os estacionamentos são amplos o que ajuda a receber muitas pessoas.o porém fica pelo lago, que merece ser mais bem cuidado e precisa retirar o excesso de cocô de", janeiro de 2020
Viajar,Bahia,Reserve um tempinho para aproveitar,Reserve um tempinho para andar ou pedalar no parque. Tem bikes e patinetes lá pelo App. Parque tem animais livres., janeiro de 2020
Ivana Vizoni,"Londrina, PR",Desconectar,Lugar pra relaxar. Curtir a natureza. Praticar esportes. Fazer piquenique. Até um churrasquinho combina. Excelente para passar o dia com a família e amigos. , janeiro de 2020
Caroline Mattar Assad,"Curitiba, PR",O melhor parque da cidade,"O Parque é uma delícia, frequentado por bastante gente. Pistas distintas para caminhar, correr e andar de bicicleta. Além de espaço pra exercícios físicos, existe muita área verde, churrasqueira e ambientes para esticar uma toalha e ficar de bobeira com os amigos e família. O", janeiro de 2020
Luiz Gomes,"Rio das Ostras, RJ",Relax...,"Grande, bonito, agradável! É mais um reduto de paz, tranquilidade... É ótimo para lazer em família, com espaço para churrasqueiras, pistas para caminhada, corrida e ciclismo, conta ainda com o serviço de aluguéis de patinetes elétricos! Tudo de bom.", dezembro de 2019
lilianpraia,"Curitiba, PR",Lindo parque,"Lindo parque,  grande  área verde bem cuidada.  Sugestão  seria excelente um local para lanches, como uma sorveteria de boa qualidade,uma cafeteria  com café  da manhã  ou  uma lanchonete de qualidade", janeiro de 2020
